address,latitude,longitude,status,original_index
FORT WORTH DR DENTON TX ,33.194245,-97.1276202,VALID,271.0
3XX MACK DR DENTON TX ,33.2188328,-97.1059963,VALID,272.0
16XX VILLAGE EAST DR DENTON TX ,33.2341069,-97.1009876,VALID,273.0
14XX PACO TRL DENTON TX ,33.2220273,-97.1161179,VALID,274.0
32XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,275.0
36XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,276.0
20XX STOCKBRIDGE RD DENTON TX ,33.1839991,-97.0916819,VALID,277.0
27XX GEESLING RD DENTON TX ,33.2342478,-97.0729387,VALID,278.0
13XX BROADWAY ST DENTON TX ,33.222518,-97.1483385,VALID,279.0
16XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,280.0
35XX CRISOFORO DR DENTON TX ,33.2521413,-97.1470132,VALID,281.0
57XX BALMORHEA DR DENTON TX ,33.1376924,-97.1887055,VALID,282.0
34XX CAMINO REAL TRL DENTON TX ,33.1747817,-97.0767076,VALID,283.0
41XX BOXWOOD DR DENTON TX ,33.1723704,-97.0643787,VALID,284.0
20XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,285.0
10XX KINGS ROW DENTON TX ,33.2490386,-97.1062357,VALID,286.0
46XX ARGYLE LN DENTON TX ,33.1518064,-97.1545305,VALID,287.0
3XX N CARROLL BLVD DENTON TX ,33.2279879,-97.1368644,VALID,288.0
7XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID,289.0
LAKEVIEW BLVD DENTON TX ,33.2257982,-97.0604461,VALID,290.0
22XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,291.0
5XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID,292.0
5XX S CARROLL BLVD DENTON TX ,33.2093664,-97.137149,VALID,293.0
1XX INDUSTRIAL ST DENTON TX ,33.211199,-97.1301502,VALID,294.0
13XX BAYFIELD ST DENTON TX ,33.2300635,-97.0940433,VALID,295.0
4XX CORONADO DR DENTON TX ,33.2394263,-97.1271636,VALID,296.0
35XX QUAIL CREEK DR DENTON TX ,33.1860396,-97.0939245,VALID,297.0
10XX FULTON ST DENTON TX ,33.2229049,-97.1433472,VALID,298.0
13XX FULTON ST DENTON TX ,33.2229049,-97.1433472,VALID,299.0
1XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,300.0
JOHNSON ST DENTON TX ,33.203311,-97.1310622,VALID,301.0
6XX W EAGLE DR DENTON TX ,33.206632,-97.14474,VALID,302.0
22XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID,303.0
19XX DENISON ST DENTON TX ,33.2345695,-97.1357041,VALID,304.0
7XX TEXAS ST DENTON TX ,33.2222473,-97.123652,VALID,305.0
23XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,306.0
37XX POCKRUS PAGE RD DENTON TX ,33.1709825,-97.077112,VALID,307.0
11XX MULKEY LN DENTON TX ,33.2215732,-97.1112194,VALID,308.0
18XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,309.0
8XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID,310.0
E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,311.0
9XX HILL ST DENTON TX ,33.204549,-97.1252899,VALID,312.0
30XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,313.0
61XX ST JAMES PL DENTON TX ,33.1525246,-97.1003187,VALID,314.0
29XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,315.0
2XX MAPLE ST DENTON TX ,33.2082019,-97.1428479,VALID,316.0
20XX CHERRYWOOD LN DENTON TX ,33.2339297,-97.1219013,VALID,317.0
6XX OAKLAND ST DENTON TX ,33.2209425,-97.1299558,VALID,318.0
