original_index,address,latitude,longitude,status
319,22XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID
320,30XX PENNIMAN RD DENTON TX ,33.223932,-97.0986677,VALID
321,13XX WINDSTREAM ST DENTON TX ,33.2436869,-97.1233638,VALID
322,7XX WINDSWEPT CT DENTON TX ,33.2436994,-97.1238224,VALID
323,6XX WINDFIELDS ST DENTON TX ,33.2430187,-97.1241861,VALID
324,6XX WINDSWEPT CT DENTON TX ,33.2436994,-97.1238224,VALID
325,96XX JIM CHRISTAL RD DENTON TX ,33.2201562,-97.2053052,VALID
326,22XX SAN JACINTO BLVD DENTON TX ,33.1923138,-97.1093771,VALID
327,5XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID
328,17XX BRINKER RD DENTON TX ,33.1883701,-97.095871,VALID
329,12XX CLEVELAND ST DENTON TX ,33.2041349,-97.1379203,VALID
330,20XX FAIRMOUNT PARK DR DENTON TX ,33.1516868,-97.1099244,VALID
331,3XX E SYCAMORE ST DENTON TX ,33.2124371,-97.125394,VALID
332,17XX VILLAGE EAST DR DENTON TX ,33.2341069,-97.1009876,VALID
333,39XX LARIAT RD DENTON TX ,33.2357069,-97.1906173,VALID
334,17XX S LOOP 288 DENTON TX ,33.1970392,-97.0919826,VALID
335,27XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID
336,56XX PARKPLACE DR DENTON TX ,33.1341609,-97.1880513,VALID
337,10XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID
338,S CARROLL BLVD DENTON TX ,33.2093664,-97.137149,VALID
339,22XX JAGUAR FRISCO TX ,33.1246732,-96.80611789999999,VALID
340,3XX MILL ST DENTON TX ,33.2064589,-97.1280704,VALID
341,12XX POINSETTIA BLVD DENTON TX ,33.2543469,-97.1106221,VALID
342,38XX DREXEL DR DENTON TX ,33.1605368,-97.0961357,VALID
343,48XX ARGYLE LN DENTON TX ,33.1518064,-97.1545305,VALID
344,9XX BEECHWOOD DR DENTON TX ,33.168017,-97.1449429,VALID
345,3XX NORMAL ST DENTON TX ,33.2171112,-97.1491473,VALID
346,9XX CLEVELAND ST DENTON TX ,33.2041349,-97.1379203,VALID
347,6XX N CRAWFORD ST DENTON TX ,33.2179936,-97.120214,VALID
348,38XX LA MANCHA LN DENTON TX ,33.1633006,-97.1188442,VALID
349,29XX MONTECITO RD DENTON TX ,33.1606932,-97.1198416,VALID
350,10XX GREENLEE ST DENTON TX ,33.2018406,-97.1462016,VALID
351,34XX LIPIZZAN DR DENTON TX ,33.1516303,-97.1017658,VALID
352,26XX BUCKINGHAM DR DENTON TX ,33.2531312,-97.1176578,VALID
353,7XX LONDONDERRY LN DENTON TX ,33.1899152,-97.1257002,VALID
354,30XX E UNIVERSITY DR DENTON TX ,33.2345383,-97.0783176,VALID
355,9XX FANNIN ST DENTON TX ,33.2053796,-97.1451123,VALID
356,17XX N RUDDELL ST DENTON TX ,33.222033,-97.1178217,VALID
357,28XX DANA LN DENTON TX ,33.2213901,-97.0993495,VALID
358,I 35 W DENTON TX ,33.1648139,-97.1855749,VALID
359,33XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID
360,7XX E SHERMAN DR DENTON TX ,33.276093,-97.0962546,VALID
